time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
33745214,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33755209,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
33765208,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33775212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33785212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33795205,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33805207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33815235,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33825204,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33835233,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33845202,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
33855232,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33865228,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
33875232,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33885221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33895212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33905206,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33915201,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,99
33925237,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33935224,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33945214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33955212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33965212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33975221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
33985212,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
33995205,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34005237,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34015223,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34025226,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34035292,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34045219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34055212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34065201,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34075230,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34085218,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34095212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
34105208,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34115212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34125210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34135203,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34145236,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34155236,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34165224,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34175236,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,100,100
34185227,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,100,100
34195216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34205208,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34215207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34225211,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34235210,0,1,0,0,0,0,0,3,-3028,-65,16,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34245207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34255201,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34265201,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34275234,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34285229,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34295219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34305223,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34315216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34325220,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34335212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34345212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34355212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34365214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,100,100
34375212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34385238,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34395227,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,100,100
34405212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34415210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34425212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
34435221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
34445212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34455205,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34465206,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34475201,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34485237,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34495230,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34505222,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34515210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34525280,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34535203,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34545228,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34555214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34565209,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34575280,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34585237,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
34595230,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34605215,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34615212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34625216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34635221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,24,0,0,0,0,0,0,99,100
34645214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34655210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34665237,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34675219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34685219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34695226,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34705214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34715216,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34725205,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34735208,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34745238,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34755232,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
34765227,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34775219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,100,100
34785212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34795203,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34805230,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34815214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34825221,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34835216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34845207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34855236,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34865227,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34875216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
34885224,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34895224,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34905216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34915215,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34925216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34935219,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34945210,0,1,0,0,0,0,0,3,-3028,-65,16,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34955214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34965208,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
34975236,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
34985230,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
34995217,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35005214,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35015210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35025207,0,1,0,0,0,0,0,3,-3028,-65,16,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35035205,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35045234,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35055224,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35065212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35075203,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35085203,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35095234,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35105222,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35115219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35125216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35135214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,100,100
35145281,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35155206,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35165230,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35175227,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
35185229,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
35195224,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35205219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35215212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35225214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35235207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35245206,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35255237,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
35265221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35275295,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35285216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35295214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35305207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35315237,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35325201,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35335273,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35345201,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
35355231,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35365221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
35375212,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35385244,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35395210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35405205,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35415236,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35425228,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35435216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35445209,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35455238,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35465234,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35475233,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35485219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35495222,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35505215,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35515212,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35525212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,100,100
35535238,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35545204,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35555237,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35565223,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35575222,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35585214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
35595219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35605215,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35615208,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35625238,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35635221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35645214,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35655208,0,1,0,0,0,0,0,3,-3028,-65,16,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35665238,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35675234,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35685223,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35695216,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35705208,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35715207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35725232,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,99
35735223,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35745221,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
35755214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35765207,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35775234,0,1,0,0,0,0,0,3,-3028,-65,15,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35785237,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35795230,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,24,0,0,0,0,0,0,99,100
35805225,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35815219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35825218,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35835210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35845206,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35855234,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35865229,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,100,100
35875228,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35885215,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35895220,0,1,0,0,0,0,0,3,-3028,-65,16,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35905212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35915205,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,21,0,0,0,0,0,0,99,100
35925234,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35935233,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35945229,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35955222,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35965226,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35975212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
35985210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
35995222,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36005224,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36015219,0,1,0,0,0,0,0,3,-3028,-65,13,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36025212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,24,0,0,0,0,0,0,99,100
36035212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36045214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,20,0,0,0,0,0,0,99,100
36055214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36065212,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,100,100
36075204,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,23,0,0,0,0,0,0,99,100
36085233,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36095233,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36105228,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36115229,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36125219,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36135214,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36145286,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
36155210,0,1,0,0,0,0,0,3,-3028,-65,14,0,3,-1790,72,22,0,0,0,0,0,0,99,100
