time, rwSpeed, eState, eSpeed, ePID, eP, eI, eD, pState, pEncoder, pLoadCellForce, pMotorCurrent, pControllerOutput, sState, sEncoder, sLoadCellForce, sMotorCurrent, sControllerOutput, sEncoderPID, sLoadCellPID, sLoadCellP, sLoadCellI, sLoadCellD, fBrakePressure, rBrakePressure
2427077034,2,0,1,0,0,0,0,0,-776445,-18433,3583,0,0,-471805,17663,5376,0,0,0,0,0,0,-20736,-19200
43045209,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43055226,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43065235,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43075210,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43085220,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43095234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,174,181
43105214,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,174,181
43115225,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,173,180
43125201,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43135212,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43145227,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43155202,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43165216,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43175234,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43185208,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43195223,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43205234,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43215211,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43225224,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43235201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43245223,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43255201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43265213,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43275224,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43285200,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43295213,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43305234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43315206,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43325218,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43335231,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43345208,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43355228,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43365203,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43375218,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43385234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43395281,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43405218,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43415228,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43425202,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,174,181
43435216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43445203,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43455213,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43465223,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43475198,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43485208,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,23,0,0,0,0,0,0,175,181
43495223,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43505203,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43515223,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43525198,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43535209,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43545223,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43555201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
43565211,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43575228,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,20,0,0,0,0,0,0,175,181
43585205,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43595219,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43605234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43615208,0,1,0,0,0,0,0,3,-3033,-73,16,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43625221,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43635198,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,24,0,0,0,0,0,0,175,181
43645220,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43655235,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43665202,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43675212,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,24,0,0,0,0,0,0,175,181
43685226,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43695203,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43705217,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43715228,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,24,0,0,0,0,0,0,175,181
43725203,0,1,0,0,0,0,0,3,-3033,-73,15,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43735218,0,1,0,0,0,0,0,3,-3033,-73,12,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43745234,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43755212,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43765232,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43775211,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43785223,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43795232,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43805205,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43815224,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43825201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43835216,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43845201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43855258,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43865233,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43875209,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43885223,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43895198,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
43905212,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43915228,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43925204,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,23,0,0,0,0,0,0,174,181
43935213,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,20,0,0,0,0,0,0,175,181
43945227,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
43955200,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43965217,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43975234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
43985210,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,23,0,0,0,0,0,0,175,181
43995224,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44005198,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44015210,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44025224,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,20,0,0,0,0,0,0,175,181
44035204,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44045224,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44055200,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44065212,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44075225,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44085202,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44095216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44105232,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44115209,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44125220,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44135234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44145209,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44155220,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44165199,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44175211,0,1,0,0,0,0,0,3,-3033,-73,12,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44185226,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44195203,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44205216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44215230,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44225216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44235305,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44245210,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44255225,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,174,181
44265197,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44275216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44285227,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44295203,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44305219,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44315234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44325209,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44335220,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44345233,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44355210,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44365224,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44375201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44385212,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44395227,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44405202,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44415217,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44425231,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,174,181
44435283,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44445227,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44455204,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44465220,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44475234,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44485208,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44495221,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44505199,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44515216,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44525234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,20,0,0,0,0,0,0,175,181
44535208,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,23,0,0,0,0,0,0,175,182
44545226,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44555200,0,1,0,0,0,0,0,3,-3033,-73,15,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44565216,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
44575235,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,20,0,0,0,0,0,0,175,181
44585212,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,174,182
44595224,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44605201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44615216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44625234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44635283,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44645226,0,1,0,0,0,0,0,3,-3033,-73,15,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44655200,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44665212,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44675224,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44685211,0,1,0,0,0,0,0,3,-3033,-73,12,0,3,-1843,68,21,0,0,0,0,0,0,175,182
44695224,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44705201,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
44715220,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44725273,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44735210,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44745224,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44755200,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44765213,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44775228,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44785204,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44795219,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44805231,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44815208,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44825220,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44835234,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44845213,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44855223,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44865235,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44875208,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44885219,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44895232,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44905205,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44915220,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,20,0,0,0,0,0,0,175,181
44925199,0,1,0,0,0,0,0,3,-3033,-73,15,0,3,-1843,68,22,0,0,0,0,0,0,174,181
44935212,0,1,0,0,0,0,0,3,-3033,-73,15,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44945223,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44955234,0,1,0,0,0,0,0,3,-3033,-73,15,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44965208,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
44975226,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
44985200,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
44995210,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45005225,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45015201,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45025213,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45035228,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45045208,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45055226,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45065200,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45075212,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45085228,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45095215,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45105231,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45115213,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
45125226,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45135278,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45145216,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,181
45155227,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45165202,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45175216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45185231,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45195209,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45205220,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45215232,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45225202,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45235213,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,20,0,0,0,0,0,0,175,182
45245232,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45255209,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
45265220,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45275233,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45285209,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45295223,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45305200,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45315223,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,181
45325199,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45335210,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45345224,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45355198,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45365211,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
45375227,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45385203,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45395218,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45405231,0,1,0,0,0,0,0,3,-3033,-73,13,0,3,-1843,68,21,0,0,0,0,0,0,175,182
45415204,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45425216,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45435226,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,181
45445204,0,1,0,0,0,0,0,3,-3033,-73,14,0,3,-1843,68,22,0,0,0,0,0,0,175,182
